TID,PID,PLAYER,NATIONALITY,TYPE,PRICE,SOLD/UNSOLD,TEAM,YEAR
2021-NONE,Kuldeep Sen-2021,Kuldeep Sen,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Anirudha Ashok Joshi-2021,Anirudha Ashok Joshi,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Mujtaba Yousuf-2021,Mujtaba Yousuf,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Pradeep Sahu-2021,Pradeep Sahu,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Prayas Ray Barman-2021,Prayas Ray Barman,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Siddhesh Dinesh Lad-2021,Siddhesh Dinesh Lad,Indian,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Karanveer Singh-2021,Karanveer Singh,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Midhun Sudhesan-2021,Midhun Sudhesan,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Nikhil Shankar Naik-2021,Nikhil Shankar Naik,Indian,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Prithvi Raj Yarra-2021,Prithvi Raj Yarra,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Noor Ahmad-2021,Noor Ahmad,Overseas,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Xavier Bartlett-2021,Xavier Bartlett,Overseas,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Rohit Damodaran-2021,Rohit Damodaran,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Jiyas K-2021,Jiyas K,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Mayank Dagar-2021,Mayank Dagar,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Ashok Menaria-2021,Ashok Menaria,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Finn Allen-2021,Finn Allen,Overseas,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Harpreet Bhatia-2021,Harpreet Bhatia,Indian,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Shivam Chauhan-2021,Shivam Chauhan,Overseas,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Naushad Shaikh-2021,Naushad Shaikh,Indian,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Pratham Singh-2021,Pratham Singh,Indian,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Atharva Ankolekar-2021,Atharva Ankolekar,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Rojith Ganesh-2021,Rojith Ganesh,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Sumit Kumar-2021,Sumit Kumar,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Akshdeep Nath-2021,Akshdeep Nath,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Pradeep Sangwan-2021,Pradeep Sangwan,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Karan Sharma-2021,Karan Sharma,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,R. Sonu Yadav-2021,R. Sonu Yadav,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Dhruv Jurel-2021,Dhruv Jurel,Indian,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Arun Karthick-2021,Arun Karthick,Indian,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Smit Patel-2021,Smit Patel,Indian,Batsman,2,UNSOLD,NONE,2021
2021-NONE,K.L Shrijith-2021,K.L Shrijith,Indian,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Wesley Agar-2021,Wesley Agar,Overseas,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Akash Deep-2021,Akash Deep,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Kulwant Khejroliya-2021,Kulwant Khejroliya,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Arzan Nagwaswalla-2021,Arzan Nagwaswalla,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,G Periyasamy-2021,G Periyasamy,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Karthik Meiyappan-2021,Karthik Meiyappan,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Prince Balwant Rai Singh-2021,Prince Balwant Rai Singh,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Sagar Udeshi-2021,Sagar Udeshi,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Kushaal Wadhwani-2021,Kushaal Wadhwani,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Akshay Wakhare-2021,Akshay Wakhare,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Rajesh Bishnoi-2021,Rajesh Bishnoi,Indian,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Abhimanyu Easwaran-2021,Abhimanyu Easwaran,Indian,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Rohan Kadam-2021,Rohan Kadam,Indian,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Amandeep Khare-2021,Amandeep Khare,Indian,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Mohammed Taha-2021,Mohammed Taha,Indian,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Tajinder Dhillon-2021,Tajinder Dhillon,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Pankaj Jaswal-2021,Pankaj Jaswal,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Khrievitso Kense-2021,Khrievitso Kense,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Prerak Mankad-2021,Prerak Mankad,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Shams Mulani-2021,Shams Mulani,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Ansh Patel-2021,Ansh Patel,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Parth Sahani-2021,Parth Sahani,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Ankit Sharma-2021,Ankit Sharma,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Dhruv Shorey-2021,Dhruv Shorey,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Josh Inglis-2021,Josh Inglis,Overseas,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Aryan Juyal-2021,Aryan Juyal,Indian,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Rohit Sharma-2021,Rohit Sharma,Indian,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Sandeep Kumar Tomar-2021,Sandeep Kumar Tomar,Indian,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Aniket Choudhary-2021,Aniket Choudhary,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Mukesh Choudhary-2021,Mukesh Choudhary,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Nathan Ellis-2021,Nathan Ellis,Overseas,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Sayan Ghosh-2021,Sayan Ghosh,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Ronit More-2021,Ronit More,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Simarjeet Singh-2021,Simarjeet Singh,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Zeeshan Ansari-2021,Zeeshan Ansari,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Nayan Doshi-2021,Nayan Doshi,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Jon Russ Jaggesar-2021,Jon Russ Jaggesar,Overseas,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Kevin Koththigoda-2021,Kevin Koththigoda,Overseas,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Tanveer Sangha-2021,Tanveer Sangha,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Maheesh Theekshan-2021,Maheesh Theekshan,Overseas,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Vijayakanth Viyaskanth-2021,Vijayakanth Viyaskanth,Overseas,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Max Bryant-2021,Max Bryant,Overseas,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Saahil Jain-2021,Saahil Jain,Indian,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Subhranshu Senapati-2021,Subhranshu Senapati,Indian,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Ravi Thakur-2021,Ravi Thakur,Indian,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Jake Weatherald-2021,Jake Weatherald,Overseas,Batsman,2,UNSOLD,NONE,2021
2021-NONE,Shubham Agrawal-2021,Shubham Agrawal,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Rajjakuddin Ahmed-2021,Rajjakuddin Ahmed,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Baba Aparajith-2021,Baba Aparajith,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,George Garton-2021,George Garton,Overseas,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Kartik Kakade-2021,Kartik Kakade,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Shoaib Khan-2021,Shoaib Khan,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Dhruv Patel-2021,Dhruv Patel,Indian,All-Rounder,2,UNSOLD,NONE,2021
2021-NONE,Varun Choudhary-2021,Varun Choudhary,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Baltej Dhanda-2021,Baltej Dhanda,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Saurabh Dubey-2021,Saurabh Dubey,Indian,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Matt Kelly-2021,Matt Kelly,Overseas,Bowler,2,UNSOLD,NONE,2021
2021-NONE,Chama Milind-2021,Chama Milind,Indian,Bowler,2,UNSOLD,NONE,2021
2020-Kolkata Knight Riders,Pat Cummins-2020,Pat Cummins,Overseas,All-Rounder,155,SOLD,Kolkata Knight Riders,2020
2020-Kings XI Punjab,Glenn Maxwell-2020,Glenn Maxwell,Overseas,All-Rounder,107.5,SOLD,Kings XI Punjab,2020
2020-Royal Challengers Bangalore,Christopher Morris-2020,Christopher Morris,Overseas,All-Rounder,100,SOLD,Royal Challengers Bangalore,2020
2020-Kings XI Punjab,Sheldon Cottrell-2020,Sheldon Cottrell,Overseas,Bowler,85,SOLD,Kings XI Punjab,2020
2020-Mumbai Indians,Nathan Coulter-Nile-2020,Nathan Coulter-Nile,Overseas,Bowler,80,SOLD,Mumbai Indians,2020
2020-Delhi Capitals,Shimron Hetmyer-2020,Shimron Hetmyer,Overseas,Batsman,77.5,SOLD,Delhi Capitals,2020
2020-Chennai Super Kings,Piyush Chawla-2020,Piyush Chawla,Indian,Bowler,67.5,SOLD,Chennai Super Kings,2020
2020-Chennai Super Kings,Sam Curran-2020,Sam Curran,Overseas,All-Rounder,55,SOLD,Chennai Super Kings,2020
2020-Kolkata Knight Riders,Eoin Morgan-2020,Eoin Morgan,Overseas,Batsman,52.5,SOLD,Kolkata Knight Riders,2020
2020-Delhi Capitals,Marcus Stoinis-2020,Marcus Stoinis,Overseas,All-Rounder,48,SOLD,Delhi Capitals,2020
2020-Royal Challengers Bangalore,Aaron Finch-2020,Aaron Finch,Overseas,Batsman,44,SOLD,Royal Challengers Bangalore,2020
2020-Kolkata Knight Riders,Varun Chakaravarthy-2020,Varun Chakaravarthy,Indian,All-Rounder,40,SOLD,Kolkata Knight Riders,2020
2020-Royal Challengers Bangalore,Kane Richardson-2020,Kane Richardson,Overseas,Bowler,40,SOLD,Royal Challengers Bangalore,2020
2020-Kings XI Punjab,Chris Jordan-2020,Chris Jordan,Overseas,All-Rounder,30,SOLD,Kings XI Punjab,2020
2020-Rajasthan Royals,Robin Uthappa-2020,Robin Uthappa,Indian,Batsman,30,SOLD,Rajasthan Royals,2020
2020-Rajasthan Royals,Jaydev Unadkat-2020,Jaydev Unadkat,Indian,Bowler,30,SOLD,Rajasthan Royals,2020
2020-Delhi Capitals,Alex Carey-2020,Alex Carey,Overseas,Batsman,24,SOLD,Delhi Capitals,2020
2020-Rajasthan Royals,Yashasvi Jaiswal-2020,Yashasvi Jaiswal,Indian,All-Rounder,24,SOLD,Rajasthan Royals,2020
2020-Chennai Super Kings,Josh Hazlewood-2020,Josh Hazlewood,Overseas,Bowler,20,SOLD,Chennai Super Kings,2020
2020-Kings XI Punjab,Ravi Bishnoi-2020,Ravi Bishnoi,Indian,Bowler,20,SOLD,Kings XI Punjab,2020
2020-Mumbai Indians,Chris Lynn-2020,Chris Lynn,Overseas,Batsman,20,SOLD,Mumbai Indians,2020
2020-Royal Challengers Bangalore,Dale Steyn-2020,Dale Steyn,Overseas,Bowler,20,SOLD,Royal Challengers Bangalore,2020
2020-Sunrisers Hyderabad,Mitchell Marsh-2020,Mitchell Marsh,Overseas,All-Rounder,20,SOLD,Sunrisers Hyderabad,2020
2020-NONE,Angelo Mathews-2020,Angelo Mathews,Overseas,All-Rounder,20,UNSOLD,NONE,2020
2020-Sunrisers Hyderabad,Priyam Garg-2020,Priyam Garg,Indian,Batsman,19,SOLD,Sunrisers Hyderabad,2020
2020-Sunrisers Hyderabad,Virat Singh-2020,Virat Singh,Indian,Batsman,19,SOLD,Sunrisers Hyderabad,2020
2020-Delhi Capitals,Jason Roy-2020,Jason Roy,Overseas,Batsman,15,SOLD,Delhi Capitals,2020
2020-Delhi Capitals,Chris Woakes-2020,Chris Woakes,Overseas,All-Rounder,15,SOLD,Delhi Capitals,2020
2020-NONE,Adam Zampa-2020,Adam Zampa,Overseas,Bowler,15,UNSOLD,NONE,2020
2020-NONE,Kyle Abbott-2020,Kyle Abbott,Overseas,Bowler,15,UNSOLD,NONE,2020
2020-NONE,Shaun Marsh-2020,Shaun Marsh,Overseas,Batsman,15,UNSOLD,NONE,2020
2020-NONE,David Willey-2020,David Willey,Overseas,All-Rounder,15,UNSOLD,NONE,2020
2020-Rajasthan Royals,Kartik Tyagi-2020,Kartik Tyagi,Indian,Bowler,13,SOLD,Rajasthan Royals,2020
2020-Kolkata Knight Riders,Tom Banton-2020,Tom Banton,Overseas,Batsman,10,SOLD,Kolkata Knight Riders,2020
2020-Rajasthan Royals,Tom Curran-2020,Tom Curran,Overseas,All-Rounder,10,SOLD,Rajasthan Royals,2020
2020-Rajasthan Royals,Andrew Tye-2020,Andrew Tye,Overseas,Bowler,10,SOLD,Rajasthan Royals,2020
2020-NONE,Vinay Kumar-2020,Vinay Kumar,Indian,Bowler,10,UNSOLD,NONE,2020
2020-NONE,James Pattinson-2020,James Pattinson,Overseas,Bowler,10,UNSOLD,NONE,2020
2020-NONE,Liam Plunkett-2020,Liam Plunkett,Overseas,Bowler,10,UNSOLD,NONE,2020
2020-NONE,Martin Guptill-2020,Martin Guptill,Overseas,Batsman,10,UNSOLD,NONE,2020
2020-NONE,Evin Lewis-2020,Evin Lewis,Overseas,Batsman,10,UNSOLD,NONE,2020
2020-NONE,Yusuf Pathan-2020,Yusuf Pathan,Indian,All-Rounder,10,UNSOLD,NONE,2020
2020-NONE,Colin Munro-2020,Colin Munro,Overseas,All-Rounder,10,UNSOLD,NONE,2020
2020-NONE,Mustafizur Rahman-2020,Mustafizur Rahman,Overseas,Bowler,10,UNSOLD,NONE,2020
2020-NONE,Tim Southee-2020,Tim Southee,Overseas,Bowler,10,UNSOLD,NONE,2020
2020-NONE,Matthew Wade-2020,Matthew Wade,Overseas,Batsman,10,UNSOLD,NONE,2020
2020-NONE,Ashton Agar-2020,Ashton Agar,Overseas,All-Rounder,10,UNSOLD,NONE,2020
2020-NONE,Moises Henriques-2020,Moises Henriques,Overseas,All-Rounder,10,UNSOLD,NONE,2020
2020-NONE,D'Arcy Short-2020,D'Arcy Short,Overseas,All-Rounder,10,UNSOLD,NONE,2020
2020-NONE,Alex Hales-2020,Alex Hales,Overseas,Batsman,10,UNSOLD,NONE,2020
2020-NONE,Rilee Rossouw-2020,Rilee Rossouw,Overseas,Batsman,10,UNSOLD,NONE,2020
2020-NONE,Thisara Perera-2020,Thisara Perera,Overseas,All-Rounder,10,UNSOLD,NONE,2020
2020-Rajasthan Royals,Anuj Rawat-2020,Anuj Rawat,Indian,Batsman,8,SOLD,Rajasthan Royals,2020
2020-Rajasthan Royals,David Miller-2020,David Miller,Overseas,Batsman,7.5,SOLD,Rajasthan Royals,2020
2020-NONE,Jason Holder-2020,Jason Holder,Overseas,All-Rounder,7.5,UNSOLD,NONE,2020
2020-NONE,Colin De Grandhomme-2020,Colin De Grandhomme,Overseas,All-Rounder,7.5,UNSOLD,NONE,2020
2020-NONE,Ben Cutting-2020,Ben Cutting,Overseas,All-Rounder,7.5,UNSOLD,NONE,2020
2020-NONE,Sean Abbott-2020,Sean Abbott,Overseas,Bowler,7.5,UNSOLD,NONE,2020
2020-NONE,Mushfiqur Rahim-2020,Mushfiqur Rahim,Overseas,Batsman,7.5,UNSOLD,NONE,2020
2020-NONE,Ish Sodhi-2020,Ish Sodhi,Overseas,Bowler,7.5,UNSOLD,NONE,2020
2020-NONE,Ashton Turner-2020,Ashton Turner,Overseas,All-Rounder,7.5,UNSOLD,NONE,2020
2020-NONE,Saqib Mahmood-2020,Saqib Mahmood,Overseas,Bowler,7.5,UNSOLD,NONE,2020
2020-NONE,Lendl Simmons-2020,Lendl Simmons,Overseas,Batsman,7.5,UNSOLD,NONE,2020
2020-NONE,David Wiese-2020,David Wiese,Overseas,All-Rounder,7.5,UNSOLD,NONE,2020
2020-NONE,Marchant De Lange-2020,Marchant De Lange,Overseas,Bowler,7.5,UNSOLD,NONE,2020
2020-NONE,Corey Anderson-2020,Corey Anderson,Overseas,All-Rounder,7.5,UNSOLD,NONE,2020
2020-NONE,Dan Christian-2020,Dan Christian,Overseas,All-Rounder,7.5,UNSOLD,NONE,2020
2020-NONE,Mohammad Mahmudullah-2020,Mohammad Mahmudullah,Overseas,All-Rounder,7.5,UNSOLD,NONE,2020
2020-Kolkata Knight Riders,Rahul Tripathi-2020,Rahul Tripathi,Indian,Batsman,6,SOLD,Kolkata Knight Riders,2020
2020-Kings XI Punjab,Prabhsimran Singh-2020,Prabhsimran Singh,Indian,Batsman,5.5,SOLD,Kings XI Punjab,2020
2020-Delhi Capitals,Mohit Sharma-2020,Mohit Sharma,Indian,Bowler,5,SOLD,Delhi Capitals,2020
2020-Kings XI Punjab,Deepak Hooda-2020,Deepak Hooda,Indian,All-Rounder,5,SOLD,Kings XI Punjab,2020
2020-Kings XI Punjab,James Neesham-2020,James Neesham,Overseas,All-Rounder,5,SOLD,Kings XI Punjab,2020
2020-Mumbai Indians,Saurabh Tiwary-2020,Saurabh Tiwary,Indian,Batsman,5,SOLD,Mumbai Indians,2020
2020-Rajasthan Royals,Oshane Thomas-2020,Oshane Thomas,Overseas,Bowler,5,SOLD,Rajasthan Royals,2020
2020-Royal Challengers Bangalore,Isuru Udana-2020,Isuru Udana,Overseas,All-Rounder,5,SOLD,Royal Challengers Bangalore,2020
2020-Sunrisers Hyderabad,Fabian Allen-2020,Fabian Allen,Overseas,All-Rounder,5,SOLD,Sunrisers Hyderabad,2020
2020-NONE,Kesrick Williams-2020,Kesrick Williams,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Colin Ingram-2020,Colin Ingram,Overseas,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Cheteshwar Pujara-2020,Cheteshwar Pujara,Indian,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Hanuma Vihari-2020,Hanuma Vihari,Indian,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Stuart Binny-2020,Stuart Binny,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Manoj Tiwary-2020,Manoj Tiwary,Indian,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Carlos Brathwaite-2020,Carlos Brathwaite,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Adam Milne-2020,Adam Milne,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Rishi Dhawan-2020,Rishi Dhawan,Indian,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Shai Hope-2020,Shai Hope,Overseas,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Heinrich Klaasen-2020,Heinrich Klaasen,Overseas,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Anrich Nortje-2020,Anrich Nortje,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Naman Ojha-2020,Naman Ojha,Indian,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Kusal Janith Perera-2020,Kusal Janith Perera,Overseas,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Andile Phehlukwayo-2020,Andile Phehlukwayo,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Barinder Singh Sran-2020,Barinder Singh Sran,Indian,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Mark Wood-2020,Mark Wood,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Matt Henry-2020,Matt Henry,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Alzarri Joseph-2020,Alzarri Joseph,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Zahir Khan Pakteen-2020,Zahir Khan Pakteen,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Hayden Walsh-2020,Hayden Walsh,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Wiaan Mulder-2020,Wiaan Mulder,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Dasun Shanaka-2020,Dasun Shanaka,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Jon-Jon Trevor Smuts-2020,Jon-Jon Trevor Smuts,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Ashoke Dinda-2020,Ashoke Dinda,Indian,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Dushmantha Chameera-2020,Dushmantha Chameera,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Obed McCoy-2020,Obed McCoy,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Tom Bruce-2020,Tom Bruce,Overseas,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Oshada Fernando-2020,Oshada Fernando,Overseas,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Avishka Fernando-2020,Avishka Fernando,Overseas,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Brandon King-2020,Brandon King,Overseas,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Rassie Van der Dussen-2020,Rassie Van der Dussen,Overseas,Batsman,5,UNSOLD,NONE,2020
2020-NONE,James Faulkner-2020,James Faulkner,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Lewis Greogry-2020,Lewis Greogry,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Scott Kuggeleijn-2020,Scott Kuggeleijn,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Romario Shepherd-2020,Romario Shepherd,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Nuwan Pradeep-2020,Nuwan Pradeep,Indian,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Blair Tickner-2020,Blair Tickner,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Karim Janat-2020,Karim Janat,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Doug Bracewell-2020,Doug Bracewell,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Ben Laughlin-2020,Ben Laughlin,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Tymal Mills-2020,Tymal Mills,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Janneman Malan-2020,Janneman Malan,Overseas,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Aiden Markram-2020,Aiden Markram,Overseas,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Anaru Kitchen-2020,Anaru Kitchen,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Jeevan Mendis-2020,Jeevan Mendis,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Daryl Mitchell-2020,Daryl Mitchell,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Angelo Perera-2020,Angelo Perera,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Seekkuge Prasanna-2020,Seekkuge Prasanna,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Rovman Powell-2020,Rovman Powell,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Sabbir Rahaman-2020,Sabbir Rahaman,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Raymon Reifer-2020,Raymon Reifer,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Ben Dunk-2020,Ben Dunk,Overseas,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Mohammad Saifuddin-2020,Mohammad Saifuddin,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Tom Latham-2020,Tom Latham,Overseas,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Ben McDermott-2020,Ben McDermott,Overseas,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Glenn Phillips-2020,Glenn Phillips,Overseas,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Tim Seifert-2020,Tim Seifert,Overseas,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Mohammad Shahzad-2020,Mohammad Shahzad,Overseas,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Patrick Brown-2020,Patrick Brown,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Beuran Hendricks-2020,Beuran Hendricks,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Naveen Ul Haq-2020,Naveen Ul Haq,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Qais Ahmad-2020,Qais Ahmad,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Fawad Ahmed-2020,Fawad Ahmed,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Khary Pierre-2020,Khary Pierre,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Waqar Salamkheil-2020,Waqar Salamkheil,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Ravi Bopara-2020,Ravi Bopara,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Tabraiz Shamsi-2020,Tabraiz Shamsi,Overseas,Bowler,5,UNSOLD,NONE,2020
2020-NONE,Wanindu Hasaranga-2020,Wanindu Hasaranga,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Nehal Pajni-2020,Nehal Pajni,Indian,Batsman,5,UNSOLD,NONE,2020
2020-NONE,Dimuth Karunarathna-2020,Dimuth Karunarathna,Overseas,All-Rounder,5,UNSOLD,NONE,2020
2020-NONE,Riley Meredith-2020,Riley Meredith,Overseas,Bowler,4,UNSOLD,NONE,2020
2020-NONE,James Fuller-2020,James Fuller,Overseas,All-Rounder,4,UNSOLD,NONE,2020
2020-NONE,Ben Dwarshuis-2020,Ben Dwarshuis,Overseas,Bowler,4,UNSOLD,NONE,2020
2020-NONE,Cameron Delport-2020,Cameron Delport,Overseas,Batsman,4,UNSOLD,NONE,2020
2020-NONE,Benny Howell-2020,Benny Howell,Overseas,All-Rounder,4,UNSOLD,NONE,2020
