TID,PID,PLAYER,NATIONALITY,TYPE,PRICE,SOLD/UNSOLD,TEAM,YEAR
2014-Delhi Daredevils,Wayne Parnell-2014,Wayne Parnell,Overseas,Bowler,10,SOLD,Delhi Daredevils,2014
2014-Kings XI Punjab,Murali Kartik-2014,Murali Kartik,Indian,Bowler,10,SOLD,Kings XI Punjab,2014
2014-Kolkata Knight Riders,Patrick Cummins-2014,Patrick Cummins,Overseas,Bowler,10,SOLD,Kolkata Knight Riders,2014
2014-Kolkata Knight Riders,Ryan Ten Doeschate-2014,Ryan Ten Doeschate,Overseas,All-Rounder,10,SOLD,Kolkata Knight Riders,2014
2014-Rajasthan Royals,Abhishek Nayar-2014,Abhishek Nayar,Indian,All-Rounder,10,SOLD,Rajasthan Royals,2014
2014-Rajasthan Royals,Kane Richardson-2014,Kane Richardson,Overseas,Bowler,10,SOLD,Rajasthan Royals,2014
2014-Royal Challengers Bangalore,Muttiah Muralitharan-2014,Muttiah Muralitharan,Overseas,Bowler,10,SOLD,Royal Challengers Bangalore,2014
2014-Sunrisers Hyderabad,Moises Henriques-2014,Moises Henriques,Overseas,All-Rounder,10,SOLD,Sunrisers Hyderabad,2014
2014-Sunrisers Hyderabad,KL Rahul-2014,KL Rahul,Indian,Batsman,10,SOLD,Sunrisers Hyderabad,2014
2014-NONE,Matthew Wade-2014,Matthew Wade,Overseas,Batsman,10,UNSOLD,NONE,2014
2014-NONE,David Hussey-2014,David Hussey,Overseas,All-Rounder,10,UNSOLD,NONE,2014
2014-NONE,Azhar Mahmood-2014,Azhar Mahmood,Overseas,All-Rounder,10,UNSOLD,NONE,2014
2014-NONE,Nathan McCullum-2014,Nathan McCullum,Overseas,Bowler,10,UNSOLD,NONE,2014
2014-NONE,Robin Peterson-2014,Robin Peterson,Overseas,Bowler,10,UNSOLD,NONE,2014
2014-NONE,Subramaniam Badrinath-2014,Subramaniam Badrinath,Indian,Batsman,10,UNSOLD,NONE,2014
2014-NONE,Ian Bell-2014,Ian Bell,Overseas,Batsman,10,UNSOLD,NONE,2014
2014-NONE,Ravi Bopara-2014,Ravi Bopara,Overseas,All-Rounder,10,UNSOLD,NONE,2014
